Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_d10_HD_000		0	DocumentRoot		UR D10	1	14	49	1	tiktoken
ur_d10_HD_001	ur_d10_HD_000	1	Section	D10	D10 Electrical installations	2	14	48	48	tiktoken
