Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_a3_HD_000		0	DocumentRoot		UR A3	1	143	3075	1	tiktoken
ur_a3_HD_001	ur_a3_HD_000	1	Section	A3	A3 Anchor Windlass Design and Testing	2	143	3074	25	tiktoken
ur_a3_HD_002	ur_a3_HD_001	2	Subsection		1. General	5	46	893	6	tiktoken
ur_a3_HD_003	ur_a3_HD_002	3	Paragraph		1.1 Application	7	9	36	36	tiktoken
ur_a3_HD_004	ur_a3_HD_002	3	Paragraph		1.2 Standards of Compliance	10	28	395	395	tiktoken
ur_a3_HD_005	ur_a3_HD_002	3	Paragraph		1.3 Plans and Particulars to be Submitted	29	46	456	456	tiktoken
ur_a3_HD_006	ur_a3_HD_001	2	Subsection		2. Materials and Fabrication	47	54	263	9	tiktoken
ur_a3_HD_007	ur_a3_HD_006	3	Paragraph		2.1 Materials	49	51	87	87	tiktoken
ur_a3_HD_008	ur_a3_HD_006	3	Paragraph		2.2 Welded Fabrication	52	54	167	167	tiktoken
ur_a3_HD_009	ur_a3_HD_001	2	Subsection		3. Design	55	122	1385	69	tiktoken
ur_a3_HD_010	ur_a3_HD_009	3	Paragraph		3.1 Mechanical Design	58	105	991	8	tiktoken
ur_a3_HD_011	ur_a3_HD_010	4	Sub-paragraph		3.1.1 Design Loads	60	66	185	185	tiktoken
ur_a3_HD_012	ur_a3_HD_010	4	Sub-paragraph		3.1.2 Continuous Duty Pull	67	90	447	447	tiktoken
ur_a3_HD_013	ur_a3_HD_010	4	Sub-paragraph		3.1.3 Overload Capability	91	93	76	76	tiktoken
ur_a3_HD_014	ur_a3_HD_010	4	Sub-paragraph		3.1.4 Hoisting Speed	94	96	85	85	tiktoken
ur_a3_HD_015	ur_a3_HD_010	4	Sub-paragraph		3.1.5 Brake Capacity	97	99	106	106	tiktoken
ur_a3_HD_016	ur_a3_HD_010	4	Sub-paragraph		3.1.6 Chain Cable Stopper	100	102	50	50	tiktoken
ur_a3_HD_017	ur_a3_HD_010	4	Sub-paragraph		3.1.7 Support Structure	103	105	34	34	tiktoken
ur_a3_HD_018	ur_a3_HD_009	3	Paragraph		3.2 Hydraulic Systems	106	108	28	28	tiktoken
ur_a3_HD_019	ur_a3_HD_009	3	Paragraph		3.3 Electrical Systems	109	116	155	8	tiktoken
ur_a3_HD_020	ur_a3_HD_019	4	Sub-paragraph		3.3.1 Electric Motors	111	113	86	86	tiktoken
ur_a3_HD_021	ur_a3_HD_019	4	Sub-paragraph		3.3.2 Electrical Circuits	114	116	61	61	tiktoken
ur_a3_HD_022	ur_a3_HD_009	3	Paragraph		3.4 Protection of Mechanical Components	117	119	88	88	tiktoken
ur_a3_HD_023	ur_a3_HD_009	3	Paragraph		3.5 Couplings	120	122	54	54	tiktoken
ur_a3_HD_024	ur_a3_HD_001	2	Subsection		4. Shop Inspection and Testing	123	132	237	237	tiktoken
ur_a3_HD_025	ur_a3_HD_001	2	Subsection		5. On-board Tests	133	135	180	180	tiktoken
ur_a3_HD_026	ur_a3_HD_001	2	Subsection		6. Marking	136	143	91	91	tiktoken
