Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e26_HD_000		0	DocumentRoot		UR E26	1	1505	25315	1	tiktoken
ur_e26_HD_001	ur_e26_HD_000	1	Section	E26	E26 Cyber resilience of ships	2	1505	25314	27	tiktoken
ur_e26_HD_002	ur_e26_HD_001	2	Subsection		1. Introduction	7	107	1600	169	tiktoken
ur_e26_HD_003	ur_e26_HD_002	3	Paragraph		1.1 Structure of this UR	17	32	389	389	tiktoken
ur_e26_HD_004	ur_e26_HD_002	3	Paragraph		1.2 Aim and purpose	33	40	105	105	tiktoken
ur_e26_HD_005	ur_e26_HD_002	3	Paragraph		1.3 Scope of applicability	41	107	937	10	tiktoken
ur_e26_HD_006	ur_e26_HD_005	4	Sub-paragraph		1.3.1 Vessels in scope	43	61	205	205	tiktoken
ur_e26_HD_007	ur_e26_HD_005	4	Sub-paragraph		1.3.2 Systems in scope	62	93	413	413	tiktoken
ur_e26_HD_008	ur_e26_HD_005	4	Sub-paragraph		1.3.3 System Category	94	97	45	45	tiktoken
ur_e26_HD_009	ur_e26_HD_005	4	Sub-paragraph		1.3.4 IACS Documents on Computer Based Systems and Cyber Resilience	98	107	264	264	tiktoken
ur_e26_HD_010	ur_e26_HD_001	2	Subsection		2. Definitions	108	156	1153	1153	tiktoken
ur_e26_HD_011	ur_e26_HD_001	2	Subsection		3. Goals and organization of requirements	157	182	386	10	tiktoken
ur_e26_HD_012	ur_e26_HD_011	3	Paragraph		3.1 Primary goal	159	164	80	80	tiktoken
ur_e26_HD_013	ur_e26_HD_011	3	Paragraph		3.2 Sub-goals per functional element	165	174	162	162	tiktoken
ur_e26_HD_014	ur_e26_HD_011	3	Paragraph		3.3 Organization of requirements	175	182	134	134	tiktoken
ur_e26_HD_015	ur_e26_HD_001	2	Subsection		4. Requirements	183	1166	15648	134	tiktoken
ur_e26_HD_016	ur_e26_HD_015	3	Paragraph		4.1 Identify	195	262	1100	62	tiktoken
ur_e26_HD_017	ur_e26_HD_016	4	Sub-paragraph		4.1.1 Vessel asset inventory	199	262	1038	12	tiktoken
ur_e26_HD_018	ur_e26_HD_017	5	Sub-sub-paragraph		4.1.1.1 Requirement	201	204	82	82	tiktoken
ur_e26_HD_019	ur_e26_HD_017	5	Sub-sub-paragraph		4.1.1.2 Rationale	205	208	91	91	tiktoken
ur_e26_HD_020	ur_e26_HD_017	5	Sub-sub-paragraph		4.1.1.3 Requirement details	209	224	289	289	tiktoken
ur_e26_HD_021	ur_e26_HD_017	5	Sub-sub-paragraph		4.1.1.4 Demonstration of compliance	225	262	564	564	tiktoken
ur_e26_HD_022	ur_e26_HD_015	3	Paragraph		4.2 Protect	263	710	7588	38	tiktoken
ur_e26_HD_023	ur_e26_HD_022	4	Sub-paragraph		4.2.1 Security Zones and Network Segmentation	267	341	1388	14	tiktoken
ur_e26_HD_024	ur_e26_HD_023	5	Sub-sub-paragraph		4.2.1.1 Requirement	269	274	104	104	tiktoken
ur_e26_HD_025	ur_e26_HD_023	5	Sub-sub-paragraph		4.2.1.2 Rationale	275	280	125	125	tiktoken
ur_e26_HD_026	ur_e26_HD_023	5	Sub-sub-paragraph		4.2.1.3 Requirement details	281	296	264	264	tiktoken
ur_e26_HD_027	ur_e26_HD_023	5	Sub-sub-paragraph		4.2.1.4 Demonstration of compliance	297	341	881	881	tiktoken
ur_e26_HD_028	ur_e26_HD_022	4	Sub-paragraph		4.2.2 Network protection safeguards	342	385	681	11	tiktoken
ur_e26_HD_029	ur_e26_HD_028	5	Sub-sub-paragraph		4.2.2.1 Requirement	344	351	119	119	tiktoken
ur_e26_HD_030	ur_e26_HD_028	5	Sub-sub-paragraph		4.2.2.2 Rationale	352	359	136	136	tiktoken
ur_e26_HD_031	ur_e26_HD_028	5	Sub-sub-paragraph		4.2.2.3 Requirement details	360	363	73	73	tiktoken
ur_e26_HD_032	ur_e26_HD_028	5	Sub-sub-paragraph		4.2.2.4 Demonstration of compliance	364	385	342	342	tiktoken
ur_e26_HD_033	ur_e26_HD_022	4	Sub-paragraph		4.2.3 Antivirus, antimalware, antispam and other protections from malicious code	386	444	916	24	tiktoken
ur_e26_HD_034	ur_e26_HD_033	5	Sub-sub-paragraph		4.2.3.1 Requirement	388	391	43	43	tiktoken
ur_e26_HD_035	ur_e26_HD_033	5	Sub-sub-paragraph		4.2.3.2 Rationale	392	399	171	171	tiktoken
ur_e26_HD_036	ur_e26_HD_033	5	Sub-sub-paragraph		4.2.3.3 Requirement details	400	405	157	157	tiktoken
ur_e26_HD_037	ur_e26_HD_033	5	Sub-sub-paragraph		4.2.3.4 Demonstration of compliance	406	444	521	521	tiktoken
ur_e26_HD_038	ur_e26_HD_022	4	Sub-paragraph		4.2.4 Access control	445	528	1624	10	tiktoken
ur_e26_HD_039	ur_e26_HD_038	5	Sub-sub-paragraph		4.2.4.1 Requirement	447	450	106	106	tiktoken
