Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_m52_HD_000		0	DocumentRoot		UR M52	1	55	769	1	tiktoken
ur_m52_HD_001	ur_m52_HD_000	1	Section	M52	M52 Length of aftmost propeller shaft bearing	2	55	768	47	tiktoken
ur_m52_HD_002	ur_m52_HD_001	2	Subsection		Scope	9	12	40	40	tiktoken
ur_m52_HD_003	ur_m52_HD_001	2	Subsection	M52.1	M52.1 Oil lubricated bearings of white metal	13	18	125	125	tiktoken
ur_m52_HD_004	ur_m52_HD_001	2	Subsection	M52.2	M52.2 Oil lubricated bearings of synthetic rubber, reinforced resin or plastic materials	19	30	242	242	tiktoken
ur_m52_HD_005	ur_m52_HD_001	2	Subsection	M52.3	M52.3 Water lubricated bearings	31	40	166	166	tiktoken
ur_m52_HD_006	ur_m52_HD_001	2	Subsection	M52.4	M52.4 Grease lubricated bearings	41	55	148	46	tiktoken
ur_m52_HD_007	ur_m52_HD_006	3	Paragraph		Note:	47	55	102	102	tiktoken
