Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_i3_HD_064	ur_i3_HD_062	5	Sub-sub-paragraph		6.5.4.2 Key mounting	1090	1093	18	18	tiktoken
ur_i3_HD_065	ur_i3_HD_062	5	Sub-sub-paragraph		6.5.4.3 Flange mounting	1094	1105	181	181	tiktoken
ur_i3_HD_066	ur_i3_HD_062	5	Sub-sub-paragraph		6.5.4.4 Splined shaft connections	1106	1109	58	58	tiktoken
ur_i3_HD_067	ur_i3_HD_055	4	Sub-paragraph		6.5.5 Gear transmissions	1110	1148	797	10	tiktoken
ur_i3_HD_068	ur_i3_HD_067	5	Sub-sub-paragraph		6.5.5.1 Shafts	1112	1115	78	78	tiktoken
ur_i3_HD_069	ur_i3_HD_067	5	Sub-sub-paragraph		6.5.5.2 Gearing	1116	1140	629	629	tiktoken
ur_i3_HD_070	ur_i3_HD_067	5	Sub-sub-paragraph		6.5.5.3 Bearings	1141	1144	20	20	tiktoken
ur_i3_HD_071	ur_i3_HD_067	5	Sub-sub-paragraph		6.5.5.4 Gear wheel shaft connections	1145	1148	60	60	tiktoken
ur_i3_HD_072	ur_i3_HD_055	4	Sub-paragraph		6.5.6 Clutches	1149	1153	97	97	tiktoken
ur_i3_HD_073	ur_i3_HD_055	4	Sub-paragraph		6.5.7 Elastic couplings	1154	1187	699	699	tiktoken
ur_i3_HD_074	ur_i3_HD_055	4	Sub-paragraph		6.5.8 Crankshafts	1188	1191	51	51	tiktoken
ur_i3_HD_075	ur_i3_HD_055	4	Sub-paragraph		6.5.9 Bearings	1192	1195	179	179	tiktoken
ur_i3_HD_076	ur_i3_HD_055	4	Sub-paragraph		6.5.10 Seals	1196	1201	75	75	tiktoken
ur_i3_HD_077	ur_i3_HD_040	3	Paragraph		6.6 Azimuthing main propulsors	1202	1207	306	306	tiktoken
ur_i3_HD_078	ur_i3_HD_001	2	Subsection		7 Prime Movers	1208	1229	350	7	tiktoken
ur_i3_HD_079	ur_i3_HD_078	3	Paragraph		7.1 Propulsion engines	1210	1215	58	58	tiktoken
ur_i3_HD_080	ur_i3_HD_078	3	Paragraph		7.2 Starting arrangements	1216	1223	161	161	tiktoken
ur_i3_HD_081	ur_i3_HD_078	3	Paragraph		7.3 Emergency power units	1224	1229	124	124	tiktoken
ur_i3_HD_082	ur_i3_HD_001	2	Subsection		8 Equipment fastening loading accelerations	1230	1274	526	10	tiktoken
ur_i3_HD_083	ur_i3_HD_082	3	Paragraph		8.1 General	1232	1235	36	36	tiktoken
ur_i3_HD_084	ur_i3_HD_082	3	Paragraph		8.2 Longitudinal Impact Accelerations, $a_l$	1236	1241	102	102	tiktoken
ur_i3_HD_085	ur_i3_HD_082	3	Paragraph		8.3 Vertical acceleration, $a_v$	1242	1253	128	128	tiktoken
ur_i3_HD_086	ur_i3_HD_082	3	Paragraph		8.4 Transverse impact acceleration, $a_t$	1254	1274	250	250	tiktoken
ur_i3_HD_087	ur_i3_HD_001	2	Subsection		9 Auxiliary Systems	1275	1282	93	93	tiktoken
ur_i3_HD_088	ur_i3_HD_001	2	Subsection		10 Sea Inlets and Cooling Water Systems	1283	1302	443	443	tiktoken
ur_i3_HD_089	ur_i3_HD_001	2	Subsection		11 Ballast Tanks	1303	1306	39	39	tiktoken
ur_i3_HD_090	ur_i3_HD_001	2	Subsection		12 Ventilation Systems	1307	1316	153	153	tiktoken
ur_i3_HD_091	ur_i3_HD_001	2	Subsection		13 Steering Systems	1317	1358	698	698	tiktoken
ur_i3_HD_092	ur_i3_HD_001	2	Subsection		14 Alternative Design	1359	1362	37	37	tiktoken
ur_i3_HD_093	ur_i3_HD_001	2	Subsection		APPENDIX	1363	1370	99	99	tiktoken
