Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e13_HD_000		0	DocumentRoot		UR E13	1	156	2162	1	tiktoken
ur_e13_HD_001	ur_e13_HD_000	1	Section	E13	E13 Test requirements for Rotating Machines	2	156	2161	72	tiktoken
ur_e13_HD_002	ur_e13_HD_001	2	Subsection		1. General	13	38	346	346	tiktoken
ur_e13_HD_003	ur_e13_HD_001	2	Subsection		2. Shaft Material	39	44	56	56	tiktoken
ur_e13_HD_004	ur_e13_HD_001	2	Subsection		3. Tests	45	74	446	62	tiktoken
ur_e13_HD_005	ur_e13_HD_004	3	Paragraph		Table 1	51	74	384	384	tiktoken
ur_e13_HD_006	ur_e13_HD_001	2	Subsection		4. Description of the test	75	156	1241	9	tiktoken
ur_e13_HD_007	ur_e13_HD_006	3	Paragraph		4.1 Examination of the technical documentation, as appropriate and visual inspection	77	84	91	17	tiktoken
ur_e13_HD_008	ur_e13_HD_007	4	Sub-paragraph		4.1.1 Examination of the technical documentation	79	81	36	36	tiktoken
ur_e13_HD_009	ur_e13_HD_007	4	Sub-paragraph		4.1.2 Visual inspection	82	84	38	38	tiktoken
ur_e13_HD_010	ur_e13_HD_006	3	Paragraph		4.2 Insulation resistance measurement	85	100	192	67	tiktoken
ur_e13_HD_011	ur_e13_HD_010	4	Sub-paragraph		Table 2	92	100	125	125	tiktoken
ur_e13_HD_012	ur_e13_HD_006	3	Paragraph		4.3 Winding resistance measurement	101	104	35	35	tiktoken
ur_e13_HD_013	ur_e13_HD_006	3	Paragraph		4.4 Verification of the voltage regulation system	105	114	260	260	tiktoken
ur_e13_HD_014	ur_e13_HD_006	3	Paragraph		4.5 Rated load test and temperature rise measurements	115	120	105	105	tiktoken
ur_e13_HD_015	ur_e13_HD_006	3	Paragraph		4.6 Overload/overcurrent tests	121	124	124	124	tiktoken
ur_e13_HD_016	ur_e13_HD_006	3	Paragraph		4.7 Verification of steady short-circuit conditions	125	130	163	163	tiktoken
ur_e13_HD_017	ur_e13_HD_006	3	Paragraph		4.8 Overspeed test	131	134	43	43	tiktoken
ur_e13_HD_018	ur_e13_HD_006	3	Paragraph		4.9 Dielectric strength test	135	140	54	54	tiktoken
ur_e13_HD_019	ur_e13_HD_006	3	Paragraph		4.10 No load test	141	146	80	80	tiktoken
ur_e13_HD_020	ur_e13_HD_006	3	Paragraph		4.11 Verification of degree of protection	147	150	31	31	tiktoken
ur_e13_HD_021	ur_e13_HD_006	3	Paragraph		4.12 Verification of bearings	151	156	54	54	tiktoken
