Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_m56_HD_000		0	DocumentRoot		UR M56	1	826	12341	1	tiktoken
ur_m56_HD_001	ur_m56_HD_000	1	Section	M56	M56 Marine gears – load capacity of involute parallel axis spur and helical gears	2	826	12340	19	tiktoken
ur_m56_HD_002	ur_m56_HD_001	2	Subsection	M56.1	M56.1 Basic principles - introduction and general influence factors	4	288	4560	14	tiktoken
ur_m56_HD_003	ur_m56_HD_002	3	Paragraph	M56.1.1	M56.1.1 Introduction	6	9	45	45	tiktoken
ur_m56_HD_004	ur_m56_HD_002	3	Paragraph	M56.1.2	M56.1.2 Scope and field of application	10	32	615	615	tiktoken
ur_m56_HD_005	ur_m56_HD_002	3	Paragraph	M56.1.3	M56.1.3 Symbols and units	33	74	557	557	tiktoken
ur_m56_HD_006	ur_m56_HD_002	3	Paragraph	M56.1.4	M56.1.4 Geometrical definitions	75	116	771	771	tiktoken
ur_m56_HD_007	ur_m56_HD_002	3	Paragraph	M56.1.5	M56.1.5 Nominal tangential load, $$F_t$$	117	124	119	119	tiktoken
ur_m56_HD_008	ur_m56_HD_002	3	Paragraph	M56.1.6	M56.1.6 General influence factors	125	288	2439	11	tiktoken
ur_m56_HD_009	ur_m56_HD_008	4	Sub-paragraph	M56.1.6.1	M56.1.6.1 Application factor, $$K_A$$	127	156	356	356	tiktoken
ur_m56_HD_010	ur_m56_HD_008	4	Sub-paragraph	M56.1.6.2	M56.1.6.2 Load sharing factor, $$K_\gamma$$	157	169	187	187	tiktoken
ur_m56_HD_011	ur_m56_HD_008	4	Sub-paragraph	M56.1.6.3	M56.1.6.3 Internal dynamic factor, $$K_v$$	170	234	1080	1080	tiktoken
