Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_d11_HD_000		0	DocumentRoot		UR D11	1	248	3436	1	tiktoken
ur_d11_HD_001	ur_d11_HD_000	1	Section	D11	D11 Safety features	2	248	3435	53	tiktoken
ur_d11_HD_002	ur_d11_HD_001	2	Subsection	D11.1	D11.1 Fire protection and extinction	11	49	566	10	tiktoken
ur_d11_HD_003	ur_d11_HD_002	3	Paragraph	D11.1.1	D11.1.1 General	13	43	431	431	tiktoken
ur_d11_HD_004	ur_d11_HD_002	3	Paragraph	D11.1.2	D11.1.2 Governmental authority	44	49	125	125	tiktoken
ur_d11_HD_005	ur_d11_HD_001	2	Subsection	D11.2	D11.2 Fire fighting water supply	50	72	476	10	tiktoken
ur_d11_HD_006	ur_d11_HD_005	3	Paragraph	D11.2.1	D11.2.1 Fire pumps	52	55	57	57	tiktoken
ur_d11_HD_007	ur_d11_HD_005	3	Paragraph	D11.2.2	D11.2.2 Pressure	56	59	152	152	tiktoken
ur_d11_HD_008	ur_d11_HD_005	3	Paragraph	D11.2.3	D11.2.3 Nozzles	60	63	67	67	tiktoken
ur_d11_HD_009	ur_d11_HD_005	3	Paragraph	D11.2.4	D11.2.4 Supply	64	72	190	190	tiktoken
ur_d11_HD_010	ur_d11_HD_001	2	Subsection	D11.3	D11.3 Fire extinguishing systems	73	87	284	10	tiktoken
ur_d11_HD_011	ur_d11_HD_010	3	Paragraph	D11.3.1	D11.3.1 Fixed and portable fire extinguishing systems	75	78	49	49	tiktoken
ur_d11_HD_012	ur_d11_HD_010	3	Paragraph	D11.3.2	D11.3.2 Fixed fire extinguishing systems on drilling and areas	79	83	121	121	tiktoken
ur_d11_HD_013	ur_d11_HD_010	3	Paragraph	D11.3.3	D11.3.3 Fixed fire extinguishing systems on mud processing area	84	87	104	104	tiktoken
ur_d11_HD_014	ur_d11_HD_001	2	Subsection	D11.4	D11.4 Fire fighting equipment for helicopter facilities	88	105	320	12	tiktoken
ur_d11_HD_015	ur_d11_HD_014	3	Paragraph	D11.4.1	D11.4.1 General	90	93	60	60	tiktoken
ur_d11_HD_016	ur_d11_HD_014	3	Paragraph	D11.4.2	D11.4.2 Portable fire extinguishers	94	98	120	120	tiktoken
ur_d11_HD_017	ur_d11_HD_014	3	Paragraph	D11.4.3	D11.4.3 Fixed fire fighting systems	99	105	128	128	tiktoken
ur_d11_HD_018	ur_d11_HD_001	2	Subsection	D11.5	D11.5 Alarms and public address	106	138	453	11	tiktoken
ur_d11_HD_019	ur_d11_HD_018	3	Paragraph	D11.5.1	D11.5.1 General alarms	108	120	162	162	tiktoken
ur_d11_HD_020	ur_d11_HD_018	3	Paragraph	D11.5.2	D11.5.2 Mud system level alarms	121	124	69	69	tiktoken
ur_d11_HD_021	ur_d11_HD_018	3	Paragraph	D11.5.3	D11.5.3 Ventilation system alarm	125	128	20	20	tiktoken
ur_d11_HD_022	ur_d11_HD_018	3	Paragraph	D11.5.4	D11.5.4 Public address	129	138	191	191	tiktoken
ur_d11_HD_023	ur_d11_HD_001	2	Subsection	D11.6	D11.6 Fire detection and alarm systems	139	177	408	11	tiktoken
ur_d11_HD_024	ur_d11_HD_023	3	Paragraph	D11.6.1	D11.6.1 General	141	151	131	131	tiktoken
ur_d11_HD_025	ur_d11_HD_023	3	Paragraph	D11.6.2	D11.6.2 Machinery spaces	152	155	39	39	tiktoken
ur_d11_HD_026	ur_d11_HD_023	3	Paragraph	D11.6.3	D11.6.3 Accommodation and service spaces	156	161	55	55	tiktoken
ur_d11_HD_027	ur_d11_HD_023	3	Paragraph	D11.6.4	D11.6.4 Electrical rooms and control stations	162	165	27	27	tiktoken
ur_d11_HD_028	ur_d11_HD_023	3	Paragraph	D11.6.5	D11.6.5 Drilling and mud processing areas	166	170	43	43	tiktoken
ur_d11_HD_029	ur_d11_HD_023	3	Paragraph	D11.6.6	D11.6.6 Manually operated alarm system	171	177	102	102	tiktoken
ur_d11_HD_030	ur_d11_HD_001	2	Subsection	D11.7	D11.7 Combustible gas detection and alarm systems	178	212	467	14	tiktoken
ur_d11_HD_031	ur_d11_HD_030	3	Paragraph	D11.7.1	D11.7.1 Areas for protection	180	195	202	202	tiktoken
ur_d11_HD_032	ur_d11_HD_030	3	Paragraph	D11.7.2	D11.7.2 Areas where protection is not required	196	202	131	131	tiktoken
ur_d11_HD_033	ur_d11_HD_030	3	Paragraph	D11.7.3	D11.7.3 Alarms	203	206	82	82	tiktoken
ur_d11_HD_034	ur_d11_HD_030	3	Paragraph	D11.7.4	D11.7.4 Portable combustible gas detectors	207	212	38	38	tiktoken
ur_d11_HD_035	ur_d11_HD_001	2	Subsection	D11.8	D11.8 Hydrogen sulphide detection and alarm system	213	231	210	14	tiktoken
ur_d11_HD_036	ur_d11_HD_035	3	Paragraph	D11.8.1	D11.8.1 Areas for protection	215	221	50	50	tiktoken
ur_d11_HD_037	ur_d11_HD_035	3	Paragraph	D11.8.2	D11.8.2 Alarms	222	227	115	115	tiktoken
ur_d11_HD_038	ur_d11_HD_035	3	Paragraph	D11.8.3	D11.8.3 Portable hydrogen sulphide gas detectors	228	231	31	31	tiktoken
ur_d11_HD_039	ur_d11_HD_001	2	Subsection	D11.9	D11.9 Respiratory protection equipment for hydrogen sulphide	232	248	198	198	tiktoken
