Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_i2_HD_000		0	DocumentRoot		UR I2	1	695	15514	1	tiktoken
ur_i2_HD_001	ur_i2_HD_000	1	Section	I2	I2 Structural Requirements for Polar Class Ships	2	695	15513	68	tiktoken
ur_i2_HD_002	ur_i2_HD_001	2	Subsection	I2.1	I2.1 General	11	22	244	7	tiktoken
ur_i2_HD_003	ur_i2_HD_002	3	Paragraph	I2.1.1	I2.1.1 Application*	13	16	22	22	tiktoken
ur_i2_HD_004	ur_i2_HD_002	3	Paragraph	I2.1.2	I2.1.2 Definitions	17	22	215	215	tiktoken
ur_i2_HD_005	ur_i2_HD_001	2	Subsection	I2.2	I2.2 Hull areas	23	52	647	647	tiktoken
ur_i2_HD_006	ur_i2_HD_001	2	Subsection	I2.3	I2.3 Design ice loads	53	277	4694	9	tiktoken
ur_i2_HD_007	ur_i2_HD_006	3	Paragraph	I2.3.1	I2.3.1 General	55	74	594	594	tiktoken
ur_i2_HD_008	ur_i2_HD_006	3	Paragraph	I2.3.2	I2.3.2 Glancing impact load characteristics	75	97	445	38	tiktoken
ur_i2_HD_009	ur_i2_HD_008	4	Sub-paragraph		Table 1 - Class factors to be used in I2.3.2.1 (iii)	79	90	294	294	tiktoken
ur_i2_HD_010	ur_i2_HD_008	4	Sub-paragraph		Table 2 - Class factors to be used in I2.3.2.1 (iv)	91	97	113	113	tiktoken
ur_i2_HD_011	ur_i2_HD_006	3	Paragraph	I2.3.2.1	I2.3.2.1 Bow area	98	166	1169	1169	tiktoken
ur_i2_HD_012	ur_i2_HD_006	3	Paragraph	I2.3.2.2	I2.3.2.2 Hull areas other than the bow	167	185	336	336	tiktoken
ur_i2_HD_013	ur_i2_HD_006	3	Paragraph	I2.3.3	I2.3.3 Design load patch	186	204	358	358	tiktoken
ur_i2_HD_014	ur_i2_HD_006	3	Paragraph	I2.3.4	I2.3.4 Pressure within the design load patch	205	233	513	204	tiktoken
ur_i2_HD_015	ur_i2_HD_014	4	Sub-paragraph		Table 3 - Peak Pressure Factors	217	233	309	309	tiktoken
ur_i2_HD_016	ur_i2_HD_006	3	Paragraph	I2.3.5	I2.3.5 Hull area factors	234	277	1270	171	tiktoken
ur_i2_HD_017	ur_i2_HD_016	4	Sub-paragraph		Table 4 - Hull Area Factors (AF)	244	262	552	552	tiktoken
