Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_m42_HD_000		0	DocumentRoot		UR M42	1	208	3161	1	tiktoken
ur_m42_HD_001	ur_m42_HD_000	1	Section	M42	M42 Steering Gear	2	208	3160	70	tiktoken
ur_m42_HD_002	ur_m42_HD_001	2	Subsection		Preamble	13	16	80	80	tiktoken
ur_m42_HD_003	ur_m42_HD_001	2	Subsection		1. Plans and specifications	17	20	28	28	tiktoken
ur_m42_HD_004	ur_m42_HD_001	2	Subsection		2. Definitions	21	24	19	19	tiktoken
ur_m42_HD_005	ur_m42_HD_001	2	Subsection		3. Power piping arrangements	25	47	346	346	tiktoken
ur_m42_HD_006	ur_m42_HD_001	2	Subsection		4. Rudder angle limiters	48	51	58	58	tiktoken
ur_m42_HD_007	ur_m42_HD_001	2	Subsection		5. Materials	52	57	131	131	tiktoken
ur_m42_HD_008	ur_m42_HD_001	2	Subsection		6. Design	58	104	516	392	tiktoken
ur_m42_HD_009	ur_m42_HD_008	3	Paragraph		Table 1	91	104	124	124	tiktoken
ur_m42_HD_010	ur_m42_HD_001	2	Subsection		7. Dynamic loads for fatigue and fracture mechanic analysis	105	110	81	81	tiktoken
ur_m42_HD_011	ur_m42_HD_001	2	Subsection		8. Hoses	111	118	119	119	tiktoken
ur_m42_HD_012	ur_m42_HD_001	2	Subsection		9. Relief valves	119	129	164	164	tiktoken
ur_m42_HD_013	ur_m42_HD_001	2	Subsection		10. Electrical installations	130	133	20	20	tiktoken
ur_m42_HD_014	ur_m42_HD_001	2	Subsection		11. Alternative source of power	134	137	54	54	tiktoken
ur_m42_HD_015	ur_m42_HD_001	2	Subsection		12. Monitoring and alarm systems	138	148	127	127	tiktoken
ur_m42_HD_016	ur_m42_HD_001	2	Subsection		13. Operating instructions	149	158	145	145	tiktoken
ur_m42_HD_017	ur_m42_HD_001	2	Subsection		14. Testing	159	168	235	235	tiktoken
ur_m42_HD_018	ur_m42_HD_001	2	Subsection		15. Trials	169	184	412	412	tiktoken
ur_m42_HD_019	ur_m42_HD_001	2	Subsection		Appendix 1: Definitions relating to steering gear	185	208	555	555	tiktoken
