Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_f33_HD_000		0	DocumentRoot		UR F33	1	9	70	1	tiktoken
ur_f33_HD_001	ur_f33_HD_000	1	Section	F33	F33 Prohibition of carriage in fore peak tanks of oil or other liquid substances which are flammable	2	9	69	69	tiktoken
