Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_m47_HD_000		0	DocumentRoot		UR M47	1	17	77	1	tiktoken
ur_m47_HD_001	ur_m47_HD_000	1	Section	M47	M47 Bridge control of propulsion machinery for attended machinery spaces	2	8	25	25	tiktoken
ur_m47_HD_002	ur_m47_HD_000	1	Section	M48	M48 Permissible limits of stresses due to torsional vibrations for intermediate, thrust and propeller shafts	9	17	51	51	tiktoken
