Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e12_HD_000		0	DocumentRoot		UR E12	1	65	627	1	tiktoken
ur_e12_HD_001	ur_e12_HD_000	1	Section	E12	E12 Electrical Equipment allowed in paint stores and in the enclosed spaces leading to paint stores	2	65	626	53	tiktoken
ur_e12_HD_002	ur_e12_HD_001	2	Subsection		1. General	10	23	107	107	tiktoken
ur_e12_HD_003	ur_e12_HD_001	2	Subsection		2. Minimum Requirements	24	44	198	198	tiktoken
ur_e12_HD_004	ur_e12_HD_001	2	Subsection		3. Special requirements	45	65	268	268	tiktoken
