Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_f37_HD_000		0	DocumentRoot		UR F37	1	7	45	1	tiktoken
ur_f37_HD_001	ur_f37_HD_000	1	Section	F37	F37 Deleted	2	7	44	44	tiktoken
