Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e24_HD_000		0	DocumentRoot		UR E24	1	58	979	1	tiktoken
ur_e24_HD_001	ur_e24_HD_000	1	Section	E24	E24 Harmonic Distortion for Ship Electrical Distribution System including Harmonic Filters	2	58	978	34	tiktoken
ur_e24_HD_002	ur_e24_HD_001	2	Subsection		1. Scope	7	10	42	42	tiktoken
ur_e24_HD_003	ur_e24_HD_001	2	Subsection		2. General	11	16	76	76	tiktoken
ur_e24_HD_004	ur_e24_HD_001	2	Subsection		3. Monitoring of harmonic distortion levels for a ship including harmonic filters	17	24	263	263	tiktoken
ur_e24_HD_005	ur_e24_HD_001	2	Subsection		4. Mitigation of the effects of harmonic filter failure on a ship's operation	25	32	134	134	tiktoken
ur_e24_HD_006	ur_e24_HD_001	2	Subsection		5. Protection arrangements for harmonic filters	33	58	429	429	tiktoken
