Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e10_HD_000		0	DocumentRoot		UR E10	1	95	3216	1	tiktoken
ur_e10_HD_001	ur_e10_HD_000	1	Section	E10	E10 Test Specification for Type Approval	2	95	3215	135	tiktoken
ur_e10_HD_002	ur_e10_HD_001	2	Subsection	E10.1	E10.1 General	20	23	40	40	tiktoken
ur_e10_HD_003	ur_e10_HD_001	2	Subsection	E10.2	E10.2 Testing	24	95	3040	638	tiktoken
ur_e10_HD_004	ur_e10_HD_003	3	Paragraph		Type testing condition for equipment covered by E10.1	54	95	2402	2402	tiktoken
