Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_e16_HD_000		0	DocumentRoot		UR E16	1	37	467	1	tiktoken
ur_e16_HD_001	ur_e16_HD_000	1	Section	E16	E16 Cable trays/protective casings made of plastics materials	2	37	466	21	tiktoken
ur_e16_HD_002	ur_e16_HD_001	2	Subsection		1. General requirement	6	12	87	87	tiktoken
ur_e16_HD_003	ur_e16_HD_001	2	Subsection		2. Installation Requirements	13	37	358	358	tiktoken
