Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_f4_HD_000		0	DocumentRoot		UR F4	1	21	188	1	tiktoken
ur_f4_HD_001	ur_f4_HD_000	1	Section	F4	F4 Deleted	2	5	6	6	tiktoken
ur_f4_HD_002	ur_f4_HD_000	1	Section	F5	F5 Pump room alarms	6	21	181	52	tiktoken
ur_f4_HD_003	ur_f4_HD_002	2	Subsection		(a) Pneumatically operated alarms	12	14	62	62	tiktoken
ur_f4_HD_004	ur_f4_HD_002	2	Subsection		(b) Electrically operated alarms	15	21	67	67	tiktoken
