Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_m3_HD_000		0	DocumentRoot		UR M3	1	84	1596	1	tiktoken
ur_m3_HD_001	ur_m3_HD_000	1	Section	M3	M3 Speed governor and overspeed protective device	2	84	1595	88	tiktoken
ur_m3_HD_002	ur_m3_HD_001	2	Subsection	M3.1	M3.1 Speed governor and overspeed protective device for main internal combustion engines	15	41	547	547	tiktoken
ur_m3_HD_003	ur_m3_HD_001	2	Subsection	M3.2	M3.2 Speed governor, overspeed protective and governing characteristics of generator prime movers	42	84	960	960	tiktoken
