Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_d3_HD_000		0	DocumentRoot		UR D3	1	71	1115	1	tiktoken
ur_d3_HD_001	ur_d3_HD_000	1	Section	D3	D3 General design parameters	2	71	1114	78	tiktoken
ur_d3_HD_002	ur_d3_HD_001	2	Subsection	D3.1	D3.1 Material	14	17	116	116	tiktoken
ur_d3_HD_003	ur_d3_HD_001	2	Subsection	D3.2	D3.2 Scantlings	18	35	372	372	tiktoken
ur_d3_HD_004	ur_d3_HD_001	2	Subsection	D3.3	D3.3 Structural design loadings	36	71	548	10	tiktoken
ur_d3_HD_005	ur_d3_HD_004	3	Paragraph	D3.3.1	D3.3.1 General	38	41	191	191	tiktoken
ur_d3_HD_006	ur_d3_HD_004	3	Paragraph	D3.3.2	D3.3.2 Wind loadings	42	45	122	122	tiktoken
ur_d3_HD_007	ur_d3_HD_004	3	Paragraph	D3.3.3	D3.3.3 Wave loadings	46	51	87	87	tiktoken
ur_d3_HD_008	ur_d3_HD_004	3	Paragraph	D3.3.4	D3.3.4 Current loadings	52	55	26	26	tiktoken
ur_d3_HD_009	ur_d3_HD_004	3	Paragraph	D3.3.5	D3.3.5 Loadings due to vortex shedding	56	59	35	35	tiktoken
ur_d3_HD_010	ur_d3_HD_004	3	Paragraph	D3.3.6	D3.3.6 Deck loadings	60	71	77	77	tiktoken
