Heading_ID	Parent_Heading_ID	Depth	Heading_Level	Heading_Number	Heading_Text	Start_Line	End_Line	Est_Tokens_Inclusive	Est_Tokens_Exclusive	Measure_Method
ur_d6_HD_000		0	DocumentRoot		UR D6	1	28	159	1	tiktoken
ur_d6_HD_001	ur_d6_HD_000	1	Section	D6	D6 Surface type drilling units	2	28	158	21	tiktoken
ur_d6_HD_002	ur_d6_HD_001	2	Subsection	D6.1	D6.1 General	7	10	30	30	tiktoken
ur_d6_HD_003	ur_d6_HD_001	2	Subsection	D6.2	D6.2 Ship type drilling units	11	14	29	29	tiktoken
ur_d6_HD_004	ur_d6_HD_001	2	Subsection	D6.3	D6.3 Barge type drilling units	15	18	30	30	tiktoken
ur_d6_HD_005	ur_d6_HD_001	2	Subsection	D6.4	D6.4 Damage stability	19	28	48	48	tiktoken
